method,n_records,direct_identifier_leakage,record_compromise_rate,exact_attribute_leakage,coarse_attribute_leakage,risk_weighted_leakage,label_preservation,utility_fact_preservation,token_change_rate,api_calls,estimated_cost_usd
none,30,0.9333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0
direct,30,0.0,1.0,0.9333,0.9333,0.9216,1.0,1.0,0.0074,0,0.0
blanket_qi,30,0.0,0.0333,0.0013,0.0013,0.0015,1.0,1.0,0.0749,0,0.0
rbqig_b2,30,0.0,0.0333,0.0013,0.5288,0.2319,1.0,1.0,0.0741,0,0.0
rbqig_b4,30,0.0,0.0333,0.0013,0.5992,0.2615,1.0,1.0,0.0735,0,0.0
rbqig_b6,30,0.0,0.0333,0.0013,0.7199,0.3228,1.0,1.0,0.0731,0,0.0
