method,n_records,qi_specificity_score,utility_weighted_specificity,qi_exact_rate,qi_generalized_rate,qi_placeholder_rate,qi_dropped_rate
none,100,0.991042,0.991042,0.989167,0.0,0.0075,0.003333
direct,100,0.955042,0.955042,0.943667,0.0,0.0455,0.010833
blanket_qi,100,0.263542,0.263542,0.030833,0.0,0.930833,0.038333
rbqig_b2,100,0.302175,0.302175,0.040833,0.077833,0.843,0.038333
rbqig_b4,100,0.336975,0.336975,0.040833,0.164833,0.756,0.038333
rbqig_b4_no_combo,100,0.336975,0.336975,0.040833,0.164833,0.756,0.038333
rbqig_b6,100,0.366308,0.366308,0.040833,0.238167,0.682667,0.038333
