source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d2_api_30_llm_attacker_with_llm_direct,direct,record_compromise_rate,0.7,0.533333,0.866667,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,direct,exact_attribute_leakage,0.705556,0.566667,0.833333,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,direct,coarse_attribute_leakage,0.705556,0.566667,0.833333,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,direct,risk_weighted_leakage,0.70754,0.563753,0.836779,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,llm_direct,record_compromise_rate,0.6,0.433333,0.766667,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,llm_direct,exact_attribute_leakage,0.572222,0.422222,0.716667,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,llm_direct,coarse_attribute_leakage,0.572222,0.433333,0.716667,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,llm_direct,risk_weighted_leakage,0.569021,0.426296,0.712946,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,blanket_qi,record_compromise_rate,0.133333,0.033333,0.266667,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,blanket_qi,exact_attribute_leakage,0.2,0.066667,0.333333,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,blanket_qi,coarse_attribute_leakage,0.2,0.083333,0.35,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,blanket_qi,risk_weighted_leakage,0.198148,0.066667,0.346296,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,rbqig_b4,record_compromise_rate,0.133333,0.033333,0.266667,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,rbqig_b4,exact_attribute_leakage,0.133333,0.033333,0.25,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,rbqig_b4,coarse_attribute_leakage,0.133333,0.033333,0.25,30,5000,20260627
ratbench_d2_api_30_llm_attacker_with_llm_direct,rbqig_b4,risk_weighted_leakage,0.131481,0.033333,0.25,30,5000,20260627
