source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_llm_direct,record_compromise_rate,0.42,0.31,0.53,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_llm_direct,exact_attribute_leakage,0.262167,0.199,0.327167,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_llm_direct,coarse_attribute_leakage,0.283833,0.228829,0.342,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_llm_direct,risk_weighted_leakage,0.320145,0.258093,0.38309,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,llm_direct_minus_rbqig_b4,record_compromise_rate,0.32,0.22,0.42,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,llm_direct_minus_rbqig_b4,exact_attribute_leakage,0.447167,0.377,0.513004,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,llm_direct_minus_rbqig_b4,coarse_attribute_leakage,0.4405,0.366496,0.5135,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,llm_direct_minus_rbqig_b4,risk_weighted_leakage,0.402352,0.330825,0.471061,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_rbqig_b4,record_compromise_rate,0.74,0.65,0.82,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_rbqig_b4,exact_attribute_leakage,0.709333,0.653167,0.761833,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_rbqig_b4,coarse_attribute_leakage,0.724333,0.670667,0.776833,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,direct_minus_rbqig_b4,risk_weighted_leakage,0.722497,0.670184,0.773523,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,rbqig_b4_minus_blanket_qi,record_compromise_rate,-0.01,-0.03,0.0,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.000833,-0.03,0.030021,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.015,-0.020854,0.055,100,5000,20260627
ratbench_d1_api_100_llm_attacker_with_llm_direct,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.00482,-0.025723,0.036335,100,5000,20260627
