source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_placeholder_variant_20260628,direct,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,direct,record_compromise_rate,0.39,0.3,0.49,100,5000,20260628
ratbench_placeholder_variant_20260628,direct,exact_attribute_leakage,0.943667,0.916333,0.967667,100,5000,20260628
ratbench_placeholder_variant_20260628,direct,coarse_attribute_leakage,0.943667,0.915833,0.968667,100,5000,20260628
ratbench_placeholder_variant_20260628,direct,risk_weighted_leakage,0.943033,0.914145,0.968105,100,5000,20260628
ratbench_placeholder_variant_20260628,direct,label_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,direct,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,direct,token_change_rate,0.008783,0.007547,0.010045,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,exact_attribute_leakage,0.030833,0.013333,0.0525,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,coarse_attribute_leakage,0.030833,0.0125,0.051667,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,risk_weighted_leakage,0.031096,0.012727,0.053179,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,label_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,blanket_qi,token_change_rate,0.107706,0.09924,0.116311,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,record_compromise_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,exact_attribute_leakage,0.045833,0.020833,0.076667,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,coarse_attribute_leakage,0.064167,0.036667,0.098333,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,risk_weighted_leakage,0.053971,0.028447,0.085073,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,label_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4,token_change_rate,0.101044,0.092652,0.109691,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,record_compromise_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,exact_attribute_leakage,0.040833,0.016667,0.070833,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,coarse_attribute_leakage,0.040833,0.016667,0.07,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,risk_weighted_leakage,0.041096,0.016922,0.070645,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,label_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder,token_change_rate,0.10279,0.094182,0.111532,100,5000,20260628
