source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,record_compromise_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,exact_attribute_leakage,-0.005,-0.0125,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,coarse_attribute_leakage,-0.023333,-0.0425,-0.008333,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,risk_weighted_leakage,-0.012876,-0.022966,-0.003974,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_rbqig_b4,token_change_rate,0.001746,0.001275,0.002272,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,exact_attribute_leakage,0.01,0.0,0.03,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,coarse_attribute_leakage,0.01,0.0,0.03,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,risk_weighted_leakage,0.01,0.0,0.03,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,rbqig_b4_placeholder_minus_blanket_qi,token_change_rate,-0.004916,-0.006078,-0.003842,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,record_compromise_rate,0.39,0.3,0.49,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,exact_attribute_leakage,0.902833,0.864829,0.939337,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,coarse_attribute_leakage,0.902833,0.865329,0.937667,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,risk_weighted_leakage,0.901938,0.863519,0.937033,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,label_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_placeholder_variant_20260628,direct_minus_rbqig_b4_placeholder,token_change_rate,-0.094008,-0.102442,-0.085883,100,5000,20260628
