source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,record_compromise_rate,0.39,0.3,0.49,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,exact_attribute_leakage,0.540167,0.47515,0.605167,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,coarse_attribute_leakage,0.540167,0.472829,0.608333,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,risk_weighted_leakage,0.57252,0.504417,0.639217,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_rbqig_b4,token_change_rate,-0.079325,-0.088024,-0.071064,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,record_compromise_rate,0.39,0.3,0.48,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,exact_attribute_leakage,0.596833,0.532162,0.662333,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,coarse_attribute_leakage,0.596833,0.530996,0.662667,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,risk_weighted_leakage,0.626646,0.562537,0.688881,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct_minus_blanket_qi,token_change_rate,-0.089449,-0.098197,-0.081049,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.056667,0.02,0.099167,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.056667,0.02,0.100833,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.054126,0.017876,0.098447,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4_minus_blanket_qi,token_change_rate,-0.010124,-0.011796,-0.008529,100,5000,20260627
