source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
presidio_pattern_ratbench_d1_100,direct,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct,record_compromise_rate,0.92,0.86,0.97,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct,exact_attribute_leakage,0.948865,0.926378,0.968803,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct,coarse_attribute_leakage,0.948865,0.926211,0.968853,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct,risk_weighted_leakage,0.938182,0.909999,0.963701,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct,label_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct,token_change_rate,0.008783,0.007561,0.010065,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,record_compromise_rate,0.01,0.0,0.03,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,exact_attribute_leakage,0.002879,0.0004,0.006346,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,coarse_attribute_leakage,0.002879,0.0004,0.00622,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,risk_weighted_leakage,0.002856,0.000449,0.00611,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,label_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,blanket_qi,token_change_rate,0.071088,0.06279,0.07964,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,record_compromise_rate,0.01,0.0,0.03,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,exact_attribute_leakage,0.007879,0.0008,0.019055,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,coarse_attribute_leakage,0.630311,0.573041,0.68893,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,risk_weighted_leakage,0.286024,0.25282,0.318162,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,label_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4,token_change_rate,0.069526,0.061503,0.077796,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,direct_identifier_leakage,0.37,0.28,0.46,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,record_compromise_rate,0.9,0.84,0.95,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,exact_attribute_leakage,0.85301,0.811655,0.891885,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,coarse_attribute_leakage,0.85301,0.810554,0.892713,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,risk_weighted_leakage,0.849865,0.805573,0.88958,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,label_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern,token_change_rate,0.014691,0.012639,0.016875,100,5000,20260627
