source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,direct_minus_rbqig_b4,record_compromise_rate,0.38,0.24,0.52,50,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,direct_minus_rbqig_b4,exact_attribute_leakage,0.577667,0.468325,0.677342,50,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,direct_minus_rbqig_b4,coarse_attribute_leakage,0.511333,0.408333,0.601675,50,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,direct_minus_rbqig_b4,risk_weighted_leakage,0.55911,0.449806,0.657032,50,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,rbqig_b4_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,50,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.023333,-0.046667,0.093333,50,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.026667,-0.05,0.101667,50,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_gpt55_attacker50,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.022336,-0.047212,0.089928,50,5000,20260628
