source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,none,utility_weighted_specificity,0.991042,0.979792,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,none,qi_specificity_score,0.991042,0.979786,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,none,qi_generalized_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,none,qi_placeholder_rate,0.0075,0.0,0.02,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,none,qi_exact_rate,0.989167,0.974167,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct,utility_weighted_specificity,0.955042,0.932749,0.9745,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct,qi_specificity_score,0.955042,0.933541,0.974875,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct,qi_generalized_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct,qi_placeholder_rate,0.0455,0.023996,0.070171,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct,qi_exact_rate,0.943667,0.916833,0.9685,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,blanket_qi,utility_weighted_specificity,0.263542,0.2475,0.281047,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,blanket_qi,qi_specificity_score,0.263542,0.247708,0.281042,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,blanket_qi,qi_generalized_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,blanket_qi,qi_placeholder_rate,0.930833,0.895,0.963333,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,blanket_qi,qi_exact_rate,0.030833,0.013333,0.051667,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b2,utility_weighted_specificity,0.301175,0.278757,0.328509,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b2,qi_specificity_score,0.301175,0.277208,0.32805,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b2,qi_generalized_rate,0.075333,0.044833,0.109167,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b2,qi_placeholder_rate,0.8455,0.7955,0.890004,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b2,qi_exact_rate,0.040833,0.016667,0.070833,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4,utility_weighted_specificity,0.33185,0.304875,0.359693,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4,qi_specificity_score,0.33185,0.305181,0.361019,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4,qi_generalized_rate,0.147333,0.105829,0.194833,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4,qi_placeholder_rate,0.771,0.710663,0.826333,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4,qi_exact_rate,0.043333,0.018333,0.073333,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6,utility_weighted_specificity,0.363558,0.333531,0.394936,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6,qi_specificity_score,0.363558,0.33339,0.395717,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6,qi_generalized_rate,0.203167,0.153167,0.2575,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6,qi_placeholder_rate,0.702667,0.6375,0.764338,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6,qi_exact_rate,0.055833,0.026667,0.091667,100,5000,20260628
