source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,direct_identifier_leakage,0.91,0.85,0.96,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,record_compromise_rate,0.39,0.3,0.49,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,exact_attribute_leakage,0.989167,0.975,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,coarse_attribute_leakage,0.989167,0.975,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,risk_weighted_leakage,0.988773,0.972989,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,label_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,none,token_change_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,record_compromise_rate,0.39,0.29,0.49,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,exact_attribute_leakage,0.943667,0.916667,0.967833,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,coarse_attribute_leakage,0.943667,0.9165,0.967833,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,risk_weighted_leakage,0.943033,0.913424,0.967944,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,label_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct,token_change_rate,0.008783,0.007584,0.010086,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
