source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,record_compromise_rate,0.39,0.3,0.49,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,exact_attribute_leakage,0.867833,0.827,0.908333,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,coarse_attribute_leakage,0.6595,0.5845,0.729833,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,risk_weighted_leakage,0.768716,0.718775,0.817082,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_rbqig_b4,token_change_rate,-0.089752,-0.098519,-0.081554,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,record_compromise_rate,0.39,0.3,0.48,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,exact_attribute_leakage,0.877833,0.840163,0.914333,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,coarse_attribute_leakage,0.877833,0.839333,0.914333,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,risk_weighted_leakage,0.876091,0.836141,0.914373,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,direct_minus_blanket_qi,token_change_rate,-0.097976,-0.10656,-0.089639,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.01,0.0,0.03,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.218333,0.1525,0.288354,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.107375,0.071965,0.145638,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_safe_api_100,rbqig_b4_minus_blanket_qi,token_change_rate,-0.008225,-0.010014,-0.00653,100,5000,20260627
