source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_api_100,none,direct_identifier_leakage,0.91,0.85,0.96,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,none,record_compromise_rate,0.39,0.3,0.49,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,none,exact_attribute_leakage,0.989167,0.974167,1.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,none,coarse_attribute_leakage,0.989167,0.975,1.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,none,risk_weighted_leakage,0.988773,0.9735,1.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,none,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,none,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,none,token_change_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,record_compromise_rate,0.39,0.29,0.48,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,exact_attribute_leakage,0.943667,0.917329,0.967333,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,coarse_attribute_leakage,0.943667,0.9165,0.9685,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,risk_weighted_leakage,0.943033,0.914175,0.968235,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,direct,token_change_rate,0.008783,0.007599,0.010046,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,blanket_qi,exact_attribute_leakage,0.030833,0.011667,0.0525,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,blanket_qi,coarse_attribute_leakage,0.030833,0.0125,0.051667,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,blanket_qi,risk_weighted_leakage,0.031096,0.012727,0.052424,100,5000,20260627
ratbench_d1_blind_backstop_v2_api_100,blanket_qi,label_preservation,1.0,1.0,1.0,100,5000,20260627
