method,n_records,direct_identifier_leakage,record_compromise_rate,exact_attribute_leakage,coarse_attribute_leakage,risk_weighted_leakage,label_preservation,utility_fact_preservation,token_change_rate,api_calls,estimated_cost_usd
none,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0
direct,30,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1344,0,0.0
blanket_qi,30,0.0,0.0,0.0,0.0,0.0,1.0,0.4333,0.6371,0,0.0
rbqig_b2,30,0.0,0.0,0.0,0.3276,0.1605,1.0,0.4833,0.5902,0,0.0
rbqig_b4,30,0.0,0.0,0.0,0.4914,0.2361,1.0,0.7167,0.5845,0,0.0
rbqig_b6,30,0.0,0.0,0.0,0.779,0.3812,1.0,0.95,0.5625,0,0.0
