method,n_records,direct_identifier_leakage,record_compromise_rate,exact_attribute_leakage,coarse_attribute_leakage,risk_weighted_leakage,label_preservation,utility_fact_preservation,token_change_rate,api_calls,estimated_cost_usd
none,100,0.91,0.39,0.9892,0.9892,0.9888,1.0,1.0,0.0,0,0.0
direct,100,0.0,0.39,0.9437,0.9437,0.943,1.0,1.0,0.0088,0,0.0
llm_direct,3,0.0,0.0,0.6111,0.6111,0.4615,1.0,1.0,0.0266,0,0.0
blanket_qi,100,0.0,0.0,0.0658,0.0658,0.0669,1.0,1.0,0.1068,0,0.0
rbqig_b2,100,0.0,0.0,0.0758,0.205,0.1372,1.0,1.0,0.0988,0,0.0
rbqig_b4,100,0.0,0.0,0.0808,0.2775,0.1733,1.0,1.0,0.0979,0,0.0
rbqig_b6,100,0.0,0.0,0.0933,0.3317,0.204,1.0,1.0,0.0964,0,0.0
